ticker,cutoff,price,history_days,median_dollar_volume_60d,liquidity_rank
TSLA,2022-12-31,123.18000030517578,1259,18087527111.497498,1
AAPL,2022-12-31,127.76161193847656,1259,10915187448.649597,2
NVDA,2022-12-31,14.5816011428833,1259,7564334324.772835,3
AMZN,2022-12-31,84.0,1259,6820759702.672958,4
MSFT,2022-12-31,233.18161010742188,1259,6319280665.531158,5
AMD,2022-12-31,64.7699966430664,1259,4678928463.8237,6
META,2022-12-31,119.29241943359376,1259,4334656304.8389435,7
GOOGL,2022-12-31,87.45452117919922,1259,2698907868.206787,8
GOOG,2022-12-31,87.95452117919922,1259,2322899511.226654,9
XOM,2022-12-31,98.16381072998048,1259,1655806651.7929077,10
V,2022-12-31,202.27957153320312,1259,1302752380.95932,11
JPM,2022-12-31,122.80115509033205,1259,1220222325.3730774,12
BAC,2022-12-31,30.284337997436523,1259,1190878199.5008469,13
CVX,2022-12-31,155.2808074951172,1259,1135401236.9781494,14
PYPL,2022-12-31,70.6084976196289,1259,1102436161.007309,15
BRK.B,2022-12-31,308.8999938964844,1259,1093639760.0494385,16
CRM,2022-12-31,130.3351287841797,1259,1066737331.7993164,17
ADBE,2022-12-31,336.5299987792969,1259,1023057120.7519531,18
DIS,2022-12-31,84.23564910888672,1259,1021444725.9765625,19
BA,2022-12-31,190.4900054931641,1259,1008959755.2612305,20
HD,2022-12-31,288.55694580078125,1259,1001325759.0057373,21
AVGO,2022-12-31,53.26291275024414,1259,997144339.7026062,22
INTC,2022-12-31,25.485862731933594,1259,981868569.0193176,23
COST,2022-12-31,436.905029296875,1259,942455630.5282593,24
TSM,2022-12-31,70.72650146484375,1259,916733838.8202667,25
JNJ,2022-12-31,159.48025512695312,1259,913446216.7747498,26
ENPH,2022-12-31,264.9599914550781,1259,911096389.5782471,27
OXY,2022-12-31,59.378944396972656,1259,896773736.0939026,28
LLY,2022-12-31,356.0448303222656,1259,854314267.8512573,29
MU,2022-12-31,49.23528671264648,1259,853509675.5214691,30
MA,2022-12-31,340.002685546875,1259,848420598.3459473,31
TXN,2022-12-31,149.1216583251953,1259,807095995.3643799,32
MRK,2022-12-31,99.79367065429688,1259,804454319.5663452,33
QCOM,2022-12-31,101.6744384765625,1259,800465054.7470093,34
PG,2022-12-31,138.47195434570312,1259,794177860.4537964,35
WMT,2022-12-31,45.38579177856445,1259,765249971.1811066,36
SHOP,2022-12-31,34.709999084472656,1259,760548027.479744,37
PFE,2022-12-31,41.678001403808594,1259,757003039.7996902,38
CMCSA,2022-12-31,28.709861755371097,1259,738887057.0747147,39
SNOW,2022-12-31,143.5399932861328,578,732839821.1853027,40
PEP,2022-12-31,160.4927520751953,1259,718828296.0922241,41
AMAT,2022-12-31,94.55363464355467,1259,716121742.6986694,42
CSCO,2022-12-31,43.013431549072266,1259,712659846.2825775,43
LRCX,2022-12-31,40.65526580810547,1259,708582322.1187592,44
TMO,2022-12-31,544.7147827148438,1259,706658035.8764648,45
TMUS,2022-12-31,133.88113403320312,1259,694427155.6213379,46
NKE,2022-12-31,109.25281524658205,1259,693686269.304657,47
MCD,2022-12-31,242.8511657714844,1259,688807817.9138184,48
KO,2022-12-31,57.354984283447266,1259,688184808.7600708,49
VZ,2022-12-31,30.65403938293457,1259,685590066.3490295,50
GS,2022-12-31,315.4030456542969,1259,675581060.3027344,51
C,2022-12-31,40.15591812133789,1259,673750653.0635834,52
XYZ,2022-12-31,62.84000015258789,1259,672523475.2822876,53
WFC,2022-12-31,37.77375030517578,1259,671645824.5380402,54
COP,2022-12-31,105.4008331298828,1259,664310323.7075806,55
MRNA,2022-12-31,179.6199951171875,1024,663782299.295044,56
AMGN,2022-12-31,235.21104431152344,1259,637779943.3639526,57
ABBV,2022-12-31,142.45640563964844,1259,636921111.1297607,58
CAT,2022-12-31,226.64846801757812,1259,612173478.4973145,59
LOW,2022-12-31,186.02200317382812,1259,609040314.2150879,60
ASML,2022-12-31,529.7849731445312,1259,608987716.7114258,61
BKNG,2022-12-31,78.93446350097656,1259,608893796.5488434,62
T,2022-12-31,15.00831413269043,1259,606925531.1563969,63
DHR,2022-12-31,230.80897521972656,1259,597658543.0684814,64
INTU,2022-12-31,378.0345458984375,1259,596908145.2255249,65
NOW,2022-12-31,77.65399932861328,1259,586701534.9769592,66
PANW,2022-12-31,69.7699966430664,1259,559247067.9588318,67
UBER,2022-12-31,24.729999542236328,919,554833643.6775208,68
SLB,2022-12-31,49.040653228759766,1259,551009496.9083786,69
UNP,2022-12-31,191.00119018554688,1259,546566961.932373,70
DVN,2022-12-31,53.79830551147461,1259,545919272.4163055,71
IBM,2022-12-31,124.64485931396484,1259,537317791.1933899,72
DE,2022-12-31,408.8924560546875,1259,534936346.9772339,73
SBUX,2022-12-31,91.1175537109375,1259,532270125.98876953,74
BMY,2022-12-31,60.93947219848633,1259,526752378.1562805,75
F,2022-12-31,8.946953773498535,1259,524315177.02937126,76
KLAC,2022-12-31,36.51572036743164,1259,520903572.1235275,77
LMT,2022-12-31,443.0964965820313,1259,520355839.9658203,78
ABNB,2022-12-31,85.5,518,516532509.0332031,79
HON,2022-12-31,196.5230712890625,1259,515431677.6088562,80
MELI,2022-12-31,846.239990234375,1259,514127381.3781738,81
ORCL,2022-12-31,78.00827026367188,1259,513981255.670166,82
GILD,2022-12-31,76.31450653076172,1259,512639518.53256226,83
SPGI,2022-12-31,307.6968994140625,1259,510731128.58514404,84
ACN,2022-12-31,249.7262725830078,1259,507997240.1412964,85
MS,2022-12-31,75.99177551269531,1259,506182177.5806427,86
ADI,2022-12-31,154.8017120361328,1259,496284010.9107971,87
CI,2022-12-31,310.1684265136719,1259,495177201.7379761,88
TGT,2022-12-31,131.68927001953125,1259,494891283.44955444,89
ABT,2022-12-31,102.40386199951172,1259,490797250.05874634,90
ISRG,2022-12-31,265.3500061035156,1259,490382603.4385681,91
NEE,2022-12-31,75.54174041748047,1259,486179122.2026825,92
MRVL,2022-12-31,36.546966552734375,1259,476216025.4333496,93
HUM,2022-12-31,492.04888916015625,1259,473264115.06500244,94
CRWD,2022-12-31,26.322500228881836,897,472806084.52835083,95
MDT,2022-12-31,69.27840423583984,1259,467275146.24176025,96
SCHW,2022-12-31,79.15131378173828,1259,466226132.9437256,97
LIN,2022-12-31,311.59466552734375,1259,456437252.1972656,98
CCL,2022-12-31,7.974073886871338,1259,455326748.1777191,99
CHTR,2022-12-31,339.1000061035156,1259,454607130.6137085,100
BLK,2022-12-31,651.871826171875,1259,452965024.7528076,101
CVS,2022-12-31,81.70133972167969,1259,451319884.1342926,102
ELV,2022-12-31,485.2704162597656,1259,450141215.7104492,103
LULU,2022-12-31,320.3800048828125,1259,441917844.1467285,104
REGN,2022-12-31,715.579833984375,1259,438954674.64904785,105
VLO,2022-12-31,114.4400405883789,1259,437445103.06358343,106
GM,2022-12-31,32.45603561401367,1259,437123083.43696594,107
FCX,2022-12-31,36.2506217956543,1259,430426106.060791,108
EOG,2022-12-31,113.96490478515624,1259,425249932.1105957,109
