policy,factor,mean_exposure,median_exposure,p10_exposure,p90_exposure,mean_absolute_exposure,maximum_absolute_exposure,average_covered_weight
baseline_equal_weight,low_volatility_z,-2.3722463381675354,-2.4446447754807155,-2.8366723357605155,-1.724638447492413,2.3722463381675354,3.0,1.0
baseline_equal_weight,market_beta_60d,2.3075318701159335,2.2642493992125523,1.5882460701399594,3.0965285592608973,2.3075318701159335,3.9622094632716593,0.9865942028985508
baseline_equal_weight,momentum_20d_z,-0.10544563585183493,0.06964396675157443,-1.9568730047657437,1.4416021685553166,1.0382882119558885,2.8664690761463176,1.0
baseline_equal_weight,relative_strength_z,-0.10544563585183496,0.06964396675157468,-1.9568730047657437,1.4416021685553166,1.0382882119558885,2.8664690761463176,1.0
baseline_equal_weight,short_term_reversal_z,0.6728236003479982,0.6666571993340494,-0.21902932552223178,1.6571066156846084,0.7991654735254052,2.8156439238767703,1.0
turnover_buffer_inverse_volatility_risk_scaled,low_volatility_z,-1.1987816523633754,-1.1021858400738207,-2.00783903530235,-0.7404307074338659,1.1987816523633754,2.981462800149611,0.5327898550724638
turnover_buffer_inverse_volatility_risk_scaled,market_beta_60d,1.2315214030701909,1.036400426453667,0.7298254741829296,2.1181515355542997,1.2315214030701909,3.637189696744057,0.5254578457014835
turnover_buffer_inverse_volatility_risk_scaled,momentum_20d_z,-0.054644257318981086,-0.010457894410960393,-0.8662391479794342,0.6613208349599455,0.5137057807556278,2.4023545011661334,0.5327898550724638
turnover_buffer_inverse_volatility_risk_scaled,relative_strength_z,-0.05464425731898109,-0.010457894410960266,-0.8662391479794345,0.6613208349599454,0.5137057807556278,2.4023545011661334,0.5327898550724638
turnover_buffer_inverse_volatility_risk_scaled,short_term_reversal_z,0.3314006451075402,0.29473962509865725,-0.12477042943975114,0.7953219881258438,0.39026180461381615,2.1470447125375944,0.5327898550724638
