path,canonical_field,source_column,temporal_classification,point_in_time_verified,historical_backtest_eligible,eligibility_reason
configs/universe_snapshots/2026-07-08_market_cap_fetch_all.csv,sector,sector,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_market_cap_fetch_all.csv,industry,industry,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_market_cap_fetch_all.csv,market_cap,market_cap,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_market_cap_missing.csv,sector,sector,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_market_cap_missing.csv,industry,industry,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_market_cap_missing.csv,market_cap,market_cap,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_top125_yahoo.csv,sector,sector,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_top125_yahoo.csv,industry,industry,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-08_top125_yahoo.csv,market_cap,market_cap,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-12_liquid_125_validation.csv,sector,sector,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-12_liquid_125_validation.csv,industry,industry,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
configs/universe_snapshots/2026-07-12_liquid_125_validation.csv,market_cap,market_cap,current_or_dated_snapshot,False,False,point_in_time_provenance_not_verified
data/processed/demo_stock_training_data.csv,sector,sector,historical_panel_unverified,False,False,point_in_time_provenance_not_verified
data/processed/salarium_training_with_macro.csv,sector,sector,historical_panel_unverified,False,False,point_in_time_provenance_not_verified
