ticker,yahoo_symbol,company_name,sector,industry,market_cap,currency,source,fetch_error
GS,GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,303751445279.83777,USD,yfinance,
HAL,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,29213859812.722626,USD,yfinance,
HD,HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,335240591134.93585,USD,yfinance,
HON,HON,Honeywell International Inc.,Industrials,Conglomerates,69815900734.61559,USD,yfinance,
IBM,IBM,International Business Machines,Technology,Information Technology Services,283892337350.791,USD,yfinance,
INTC,INTC,Intel Corporation,Technology,Semiconductors,554066229263.3057,USD,yfinance,
INTU,INTU,Intuit Inc.,Technology,Software - Application,74429419369.53735,USD,yfinance,
ISRG,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,147012997875.83844,USD,yfinance,
JNJ,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,634060935468.9136,USD,yfinance,
JPM,JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,885900051935.6082,USD,yfinance,
KHC,KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,29549578829.427654,USD,yfinance,
KLAC,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,288921941380.3546,USD,yfinance,
KO,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,358827040226.26715,USD,yfinance,
LIN,LIN,Linde plc,Basic Materials,Specialty Chemicals,243966797166.2567,USD,yfinance,
LLY,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1084205914469.1252,USD,yfinance,
LMT,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,121728367545.7749,USD,yfinance,
LOW,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,119346497099.13419,USD,yfinance,
MAR,MAR,Marriott International,Consumer Cyclical,Lodging,97870670278.33658,USD,yfinance,
MCD,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,197698255266.75,USD,yfinance,
MDB,MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,28907234072.882477,USD,yfinance,
MDLZ,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,76351487494.07178,USD,yfinance,
MELI,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,91730467414.70483,USD,yfinance,
META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1530973850713.835,USD,yfinance,
MLM,MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,34226163000.0,USD,yfinance,
MPC,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,81940772573.59222,USD,yfinance,
MRK,MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,311173172769.73584,USD,yfinance,
MS,MS,Morgan Stanley,Financial Services,Capital Markets,343958511595.56903,USD,yfinance,
MSFT,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2847616132227.6196,USD,yfinance,
MU,MU,"Micron Technology, Inc.",Technology,Semiconductors,1071568207882.2625,USD,yfinance,
NEE,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,182365337595.32996,USD,yfinance,
NEM,NEM,Newmont Corporation,Basic Materials,Gold,99495914346.88751,USD,yfinance,
NET,NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,97040474631.22083,USD,yfinance,
NFLX,NFLX,"Netflix, Inc.",Communication Services,Entertainment,318294245311.11523,USD,yfinance,
NKE,NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,63515243941.508286,USD,yfinance,
NOW,NOW,"ServiceNow, Inc.",Technology,Software - Application,111154374981.0791,USD,yfinance,
NVDA,NVDA,NVIDIA Corporation,Technology,Semiconductors,4943990401733.398,USD,yfinance,
ORCL,ORCL,Oracle Corporation,Technology,Software - Infrastructure,404677386612.8998,USD,yfinance,
OXY,OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,53302473778.35921,USD,yfinance,
PANW,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,261280847015.38086,USD,yfinance,
PEG,PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,40493598191.04936,USD,yfinance,
PEP,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,194802749555.829,USD,yfinance,
PFE,PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,137071627916.11919,USD,yfinance,
PH,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,118411511117.2262,USD,yfinance,
PLD,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,131459658000.0,USD,yfinance,
PSA,PSA,Public Storage,Real Estate,REIT - Industrial,56320684326.14429,USD,yfinance,
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,75299605127.35474,USD,yfinance,
PYPL,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,39280156526.50107,USD,yfinance,
QCOM,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,196634237426.7578,USD,yfinance,
RCL,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,75349382342.96448,USD,yfinance,
REGN,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,69495698044.06934,USD,yfinance,
ROKU,ROKU,"Roku, Inc.",Communication Services,Entertainment,20656646615.5,USD,yfinance,
RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense,262482071883.182,USD,yfinance,
SBUX,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,118380642130.27954,USD,yfinance,
SCHW,SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,176870075754.4796,USD,yfinance,
SHOP,SHOP,Shopify Inc.,Technology,Software - Application,154706384188.25104,USD,yfinance,
SHW,SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals,81530339040.38324,USD,yfinance,
SLB,SLB,SLB Limited,Energy,Oil & Gas Equipment & Services,70910585317.48538,USD,yfinance,
SNPS,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,83197766712.5,USD,yfinance,
SO,SO,Southern Company (The),Utilities,Utilities - Regulated Electric,108649276729.01506,USD,yfinance,
SPOT,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,99770966249.42105,USD,yfinance,
SRE,SRE,DBA Sempra,Utilities,Utilities - Diversified,62317927734.304,USD,yfinance,
T,T,AT&T Inc.,Communication Services,Telecom Services,146748922026.47803,USD,yfinance,
TGT,TGT,Target Corporation,Consumer Defensive,Discount Stores,60143986219.391235,USD,yfinance,
TJX,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,168787784887.50107,USD,yfinance,
TMO,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,189575259755.00793,USD,yfinance,
TMUS,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,194948357059.85468,USD,yfinance,
TT,TT,Trane Technologies plc,Industrials,Building Products & Equipment,104402293121.23178,USD,yfinance,
TTWO,TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia,46672886651.5155,USD,yfinance,
TXN,TXN,Texas Instruments Incorporated,Technology,Semiconductors,274229166449.83868,USD,yfinance,
UAL,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,40967191464.36328,USD,yfinance,
UBER,UBER,"Uber Technologies, Inc.",Technology,Software - Application,149820084250.7224,USD,yfinance,
UNH,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,386506263885.27356,USD,yfinance,
USB,USB,U.S. Bancorp,Financial Services,Banks - Regional,95021635408.0,USD,yfinance,
VLO,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,83996346822.0271,USD,yfinance,
VMC,VMC,Vulcan Materials Company (Holdi,Basic Materials,Building Materials,37186452016.97342,USD,yfinance,
VRTX,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,126504232136.3836,USD,yfinance,
VZ,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,177252478915.19864,USD,yfinance,
WBD,WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,65561623800.903244,USD,yfinance,
WFC,WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,261829805635.47424,USD,yfinance,
WMT,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,900058740287.4349,USD,yfinance,
XEL,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,49704344081.807556,USD,yfinance,
XOM,XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,584976413212.0598,USD,yfinance,
ZTS,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,31484031022.108658,USD,yfinance,
